# Author: CJBurke Date: 01/14/2016
# Format: %9d %11.7f %10.7f %5.2f %5.2f %02d %1d %1d %1d %6.3f
# Header Lines: 38
#################################
# Description:
# This file contains the KEES project targets observed or scheduled
#   to be observed by K2.  These are stars selected to be likely dwarf stars
#   that lie within the current ecliptic band (+/-0.26 deg of the ecliptic)
#   such that they can observe Earth transiting the Sun.  There is also
#   an expanded set of targets with a wider ecliptic band (+/- 1.0 deg)
#   that sometime within the last 100,000 years were likely able to 
#   observe the Earth transit the Sun, but currently cannot.  The targets
#   are sorted in priority order in the following order
#    1) Confirmed planets in current ecliptic band
#    2) Confirmed planets in extended ecliptic band
#    3) Candidate planets in current ecliptic band
#    4) Candidate planets in extended ecliptic band
#    5) Observed targets in current ecliptic band
#    6) Observed targets in extended ecliptic band
#   Within each numbered priority the targets are sorted by a priority
#   metric that measures the expected SNR of a transit.  This gives priority
#   to brighter stars that are late type dwarfs.  This priority metric is also
#   expected to crudely correlate with distance to target.
##########################################
# Column Description
# 1- EPIC catalog number
# 2- Right Ascencsion (2000.0) [deg] 
# 3- Declination (2000.0) [deg]
# 4- Kepler magnitude [mag]
# 5- (V-J) color
# 6- K2 observing campaign [0-8]
# 7- Current ecliptic band [1/0] - flag indicating whether ecliptic
#        latitude, abs(b)<0.26 deg
# 8- Planet candidate
# 9- Confirmed Planet
# 10- Priority lower numbers have a higher expected transit SNR
#     The highest priority targets are generally the brightest
#     and later spectral type targets
220540965 104.0501800 19.7749600 10.43  1.12 08 1 0 0 -1.024
216391382  92.1140100 20.1764700 10.98  1.54 07 1 0 0 -1.023
204793480  97.2738330 24.5339720 12.72  1.41 02 1 0 0 -1.020
211823148  97.5336100 15.9121100 11.19  1.56 05 1 0 0 -1.017
220449568 100.1869200 23.9376400 11.20  0.97 08 1 0 0 -1.014
216141476  94.9899800 22.8762200 13.57  1.90 07 1 0 0 -1.009
211799808  95.5192300 14.8160500 11.35  1.11 05 1 0 0 -1.006
212692993 100.0598200 28.0244700 12.85  1.29 06 1 0 0 -0.998
201558807  91.9104800 24.4978300 13.44  1.79 01 1 0 0 -0.973
212562186  95.3397800 24.5057500 12.44  1.91 06 1 0 0 -0.970
216260201  92.3528400 20.7029600 12.65  1.26 07 1 0 0 -0.969
220379639  96.8546000 17.4962800 10.27  1.10 08 1 0 0 -0.966
206237146  98.5847400 22.7090400 11.14  1.07 03 1 0 0 -0.965
204638516  94.6708300 21.8322200 13.66  3.70 02 1 0 0 -0.964
216393858 100.2032200 28.7512200 11.58  1.44 07 1 0 0 -0.963
210883308  91.7340800 17.8852000 10.82  1.64 04 1 0 0 -0.954
204804126 104.6772500 25.1968800 11.45  1.60 02 1 0 0 -0.953
216571596  98.5632800 20.7976900 13.20  1.60 07 1 0 0 -0.947
212697064  95.4408600 18.3861700  9.50  1.08 06 1 0 0 -0.935
201691280 102.5164700 16.8048500  9.35  1.23 01 1 0 0 -0.926
210786388  95.4201200 19.0617600  9.39  1.18 04 1 0 0 -0.924
210862064  94.1170700 17.4907000 12.07  1.56 04 1 0 0 -0.923
204656966 104.4151800 19.5844900 12.35  2.11 02 1 0 0 -0.921
210738435 102.0946100 24.3995800 12.01  1.86 04 1 0 0 -0.916
210718708 101.6208400 22.3683800 12.80  1.73 04 1 0 0 -0.915
211935589  90.6478400 23.1813000 14.94  3.54 05 1 0 0 -0.913
211805995  95.9039900 15.0116000 12.33  1.66 05 1 0 0 -0.906
216552548  98.3936600 16.3116900 10.30  1.49 07 1 0 0 -0.904
212583920  93.9858300 27.2266100 12.63  1.90 06 1 0 0 -0.897
201599033  99.0501600 15.2395100 11.38  1.47 01 1 0 0 -0.897
211891305 100.0431000 15.3099200 12.12  1.63 05 1 0 0 -0.896
212583077  96.2250200 20.7044400 13.90  1.81 06 1 0 0 -0.891
211987102  98.4909400 20.8122400 11.47  1.34 05 1 0 0 -0.889
212560377  94.7189400 27.8148500 11.80  1.31 06 1 0 0 -0.886
201777655  92.8676800 19.6997700 11.68  1.30 01 1 0 0 -0.883
201704589 101.8914700 16.7877800 13.24  1.29 01 1 0 0 -0.881
206260914 100.1080800 27.3485700 11.24  1.39 03 1 0 0 -0.880
204577183 103.2682400 16.9268300 12.15  1.92 02 1 0 0 -0.876
201720733  95.3022300 16.3728900 12.01  1.47 01 1 0 0 -0.875
212586030  96.5216200 19.0011100 11.69  1.90 06 1 0 0 -0.874
216438968  94.7179000 18.8650300 12.82  1.86 07 1 0 0 -0.872
206130043  94.6278480 24.5473230 13.19  1.21 03 1 0 0 -0.871
220389584  98.5422300 18.5786900 14.61  1.29 08 1 0 0 -0.868
206128832  94.6029240 24.6751160 11.65  1.08 03 1 0 0 -0.861
220446555  95.2441600 17.3585300 11.38  1.28 08 1 0 0 -0.860
212617320  95.2349700 24.2332800  9.87  1.38 06 1 0 0 -0.856
220409056  99.4628000 16.3115500 10.91  0.99 08 1 0 0 -0.851
204662993  94.1183000 24.7217000  9.10  1.05 02 1 0 0 -0.851
201636027 102.8216600 16.1232500 11.03  1.08 01 1 0 0 -0.849
220415155  92.0504500 22.7524000 14.08  1.25 08 1 0 0 -0.848
220481745  92.8831700 21.2419400 13.38  1.29 08 1 0 0 -0.846
212689309 102.2004600 24.0675400 13.19  2.68 06 1 0 0 -0.845
204808632  91.0838200 22.6803800 14.33  1.85 02 1 0 0 -0.845
201630602 102.6466200 15.8824800 11.23  1.13 01 1 0 0 -0.831
216207217  95.4132900 22.8432400  9.25  1.32 07 1 0 0 -0.828
206142390  94.6821900 24.6823600 12.60  1.17 03 1 0 0 -0.823
212687293  93.3446900 26.5955900 11.64  1.24 06 1 0 0 -0.822
212609365  94.0352500 24.2104500 14.64  3.70 06 1 0 0 -0.817
212714144  99.2755900 17.7094700 12.30  1.33 06 1 0 0 -0.816
212678527  93.6735300 17.5638300 12.32  1.20 06 1 0 0 -0.815
216235749  92.4419600 24.0055800 13.34  3.00 07 1 0 0 -0.812
201633871 102.7131600 17.0886500 13.20  1.18 01 1 0 0 -0.810
211895099 102.1107900 17.0477900 10.57  0.96 05 1 0 0 -0.805
201714400  95.1401800 17.1950400 11.92  1.33 01 1 0 0 -0.804
210734198 101.8813700 20.9751600 12.28  2.17 04 1 0 0 -0.802
201577739 104.2291700 24.7500000 13.43  1.88 01 1 0 0 -0.798
210767541 103.4661700 26.0874800 12.52  1.57 04 1 0 0 -0.797
206109716  94.3197530 24.8619980 14.61  2.38 03 1 0 0 -0.795
210724376 101.6462200 17.2438600 12.35  1.66 04 1 0 0 -0.790
220551256 100.2705300 28.5248600 12.45  1.38 08 1 0 0 -0.788
204598989  93.3006400 17.7968700 13.08  2.37 02 1 0 0 -0.787
210732574 101.7848900 24.3205900 12.81  3.57 04 1 0 0 -0.786
216272917  92.4515000 20.5089500 13.71  2.61 07 1 0 0 -0.785
206248436  99.2829700 22.0304600 10.52  1.09 03 1 0 0 -0.785
220464069 101.0657200 25.9357400 15.30  3.71 08 1 0 0 -0.784
216583669  98.4594900 17.9935200 12.71  1.41 07 1 0 0 -0.777
212716691 104.8278900 20.4726900 11.84  1.16 06 1 0 0 -0.773
220394288 101.1789000 22.5134600 15.08  3.46 08 1 0 0 -0.772
204772082  95.0715200 24.2500500 13.37  1.75 02 1 0 0 -0.771
215947443  99.6064300 19.1105300 12.56  3.28 07 1 0 0 -0.768
216130822  94.8912500 23.7103300  9.82  1.43 07 1 0 0 -0.767
211940147  94.4413300 23.4159400 10.39  0.94 05 1 0 0 -0.765
206233419  98.3130500 26.5825100 12.56  1.50 03 1 0 0 -0.763
216063029  94.3790200 22.8509500 12.81  2.86 07 1 0 0 -0.749
215929105  91.4070400 22.4296900 12.88  1.54 07 1 0 0 -0.747
206100953 103.2089100 16.8448200 13.94  2.95 03 1 0 0 -0.742
216481711  97.4385600 26.4638200 12.82  1.61 07 1 0 0 -0.741
210740714 102.1665000 16.9294200 10.66  1.24 04 1 0 0 -0.739
212567838  96.0084700 26.8739600 12.01  1.23 06 1 0 0 -0.733
206118263  94.6313690 24.8503040 12.06  1.14 03 1 0 0 -0.732
220530061  96.1594300 18.8154200 11.12  1.16 08 1 0 0 -0.730
212538830  90.9537800 24.2829000 11.65  1.56 06 1 0 0 -0.730
211897901  92.4955500 18.2403300 13.74  2.32 05 1 0 0 -0.728
201737068  96.6883500 18.1664900 11.76  1.21 01 1 0 0 -0.726
201560006  90.9198620 22.2181440 15.13  3.92 01 1 0 0 -0.725
216212160  95.4849800 23.4130700 13.80  3.28 07 1 0 0 -0.724
210738738 102.1214700 21.1731800 11.06  1.29 04 1 0 0 -0.724
211817037  98.9697200 15.5450400 11.35  1.46 05 1 0 0 -0.723
216177900  95.1810000 23.4448100 12.57  1.87 07 1 0 0 -0.723
216144432  95.0022500 23.1978900 11.55  1.55 07 1 0 0 -0.721
212674151  93.9848000 17.3377200 13.91  2.56 06 1 0 0 -0.715
201770128  98.2676300 16.7329000 11.74  1.10 01 1 0 0 -0.711
211839693  98.6569500 16.8438700 15.75  3.04 05 1 0 0 -0.711
206275097 101.0291300 22.7343600 13.46  2.71 03 1 0 0 -0.710
201744487  98.0688900 16.5060900 13.40  1.79 01 1 0 0 -0.708
211925745  92.5471700 22.4052300 12.35  1.72 05 1 0 0 -0.706
212716726 104.1252300 19.5600500 12.24  1.38 06 1 0 0 -0.705
211796047  96.8524600 14.7298400 14.63  1.12 05 1 0 0 -0.705
206125880  94.5470280 24.6391980 11.06  1.27 03 1 0 0 -0.703
215981328  97.9538500 22.5910000 11.96  1.60 07 1 0 0 -0.702
204755264  95.4704000 24.8564000 14.23  2.58 02 1 0 0 -0.699
201574124 103.1905600 15.5220600 15.46  2.95 01 1 0 0 -0.695
201754396  98.0350100 17.6437000 12.40  1.27 01 1 0 0 -0.695
204474702  91.2185500 24.0587200 12.53  2.57 02 1 0 0 -0.694
212567045  98.1423300 26.5165000  8.74  1.06 06 1 0 0 -0.691
204776441  92.5766700 22.7533300 13.51  2.88 02 1 0 0 -0.688
201579766  96.2491670 26.8220470 11.41  1.33 01 1 0 0 -0.688
216178708  95.2026400 22.8967400 13.40  2.93 07 1 0 0 -0.687
212600843 104.3699400 19.9766600 15.02  3.31 06 1 0 0 -0.687
206125365  94.6857370 24.6509440 12.25  1.39 03 1 0 0 -0.686
